191,269,348,438,443,556,602,707,821,904,989,1137,1286,1426,1528,1634,1690,1735,1810,1908,1942,2103,2249,2360,2451,2524,2627,2748,2835,2934,3018,3122,3183,3274,3336,3440,3585,3669,3791,3893,3899,3945,4061,4162,4243,4348,4433,4557,4659,4783,4947,5043,5158,5318,5460,5518,5621,5673,5786,5888,6011,6112,6210,6327,6412,6536,6680,6817,6965,7028,7073,7179,7304,7374,7468,7517,7584,7710,7770,7856,7957,8062,8167,8257,8381,8462,8540,8657,8760,8871,8972,9080,9171,9306,9401,9548,9607,9698,9814,9998
3,22,61,276,351,441,559,608,721,823,906,1027,1146,1287,1428,1531,1637,1692,1741,1811,1911,1966,2145,2253,2362,2452,2530,2644,2750,2836,2939,3029,3125,3185,3275,3343,3441,3588,3670,3797,3947,4070,4163,4245,4362,4448,4560,4660,4793,4948,5081,5161,5331,5489,5521,5622,5675,5801,5889,6033,6136,6214,6338,6414,6559,6682,6858,6967,7029,7074,7200,7306,7383,7486,7520,7533,7622,7719,7772,7861,7960,8063,8172,8290,8389,8470,8543,8660,8777,8872,8974,9099,9183,9321,9420,9553,9609,9705,9827,9979
7,62,201,284,361,562,623,751,842,917,1031,1160,1299,1439,1539,1643,1698,1752,1822,1913,1980,2152,2265,2368,2454,2568,2609,2647,2765,2842,2940,3047,3132,3204,3292,3349,3457,3590,3679,3802,3906,3955,4115,4165,4249,4364,4469,4569,4667,4803,4951,5086,5185,5334,5492,5523,5626,5711,5812,5897,6037,6155,6234,6346,6416,6609,6694,6883,6976,7041,7091,7202,7309,7391,7488,7624,7724,7729,7785,7878,7972,8068,8190,8296,8395,8473,8575,8689,8784,8906,8985,9102,9188,9333,9446,9555,9630,9712,9857,9955
8,76,229,264,370,445,575,646,762,843,929,1038,1167,1325,1451,1567,1647,1709,1763,1825,1915,1994,2187,2266,2372,2461,2569,2649,2779,2873,2956,3075,3134,3208,3293,3350,3459,3592,3692,3804,3915,3962,4117,4181,4254,4378,4479,4570,4672,4815,4990,5092,5217,5337,5493,5542,5629,5730,5813,5906,6047,6158,6246,6359,6425,6613,6695,6918,6977,7044,7093,7205,7320,7394,7490,7541,7625,7804,7891,7986,8122,8200,8305,8413,8492,8577,8704,8803,8923,9000,9103,9116,9207,9335,9450,9560,9634,9719,9859,9938
16,77,230,239,287,455,581,657,774,846,955,1057,1170,1327,1454,1571,1651,1710,1764,1830,1918,2008,2189,2269,2388,2465,2584,2652,2781,2878,2963,3080,3143,3210,3295,3352,3462,3598,3713,3812,3929,3974,4118,4208,4260,4383,4486,4584,4689,4848,4994,5095,5219,5338,5495,5547,5630,5736,5814,5910,6049,6167,6261,6364,6426,6615,6701,6932,6978,7046,7096,7210,7321,7396,7497,7543,7634,7734,7811,7907,7992,8125,8205,8323,8425,8505,8578,8713,8812,8930,9017,9213,9337,9452,9574,9641,9738,9873,9908,9933
30,111,141,245,293,376,584,664,776,850,959,1068,1190,1330,1475,1581,1659,1719,1766,1860,1926,2037,2208,2282,2398,2467,2588,2655,2786,2899,2965,3081,3146,3213,3308,3356,3489,3607,3720,3815,3932,4009,4133,4209,4264,4385,4492,4586,4690,4886,4999,5118,5223,5362,5496,5557,5635,5748,5823,5914,6053,6180,6268,6380,6445,6617,6742,6935,6980,7047,7139,7215,7334,7418,7498,7545,7640,7735,7814,7911,7994,8131,8226,8324,8426,8508,8587,8731,8817,8935,9022,9127,9218,9345,9472,9580,9653,9767,9878,9929
36,50,119,120,258,298,386,460,587,881,961,1096,1203,1386,1476,1586,1660,1726,1770,1870,1929,2039,2225,2284,2401,2470,2591,2660,2807,2905,2970,3083,3147,3215,3309,3398,3495,3619,3722,3820,3934,4011,4136,4222,4268,4388,4497,4634,4691,4896,5000,5125,5229,5431,5498,5563,5659,5750,5842,5922,6070,6188,6270,6392,6447,6643,6769,6937,6987,7054,7154,7234,7348,7447,7501,7546,7645,7737,7820,7915,8023,8136,8229,8328,8427,8515,8598,8735,8818,8940,9032,9128,9253,9347,9475,9582,9661,9788,9890,9927
47,48,253,256,318,324,331,338,399,484,668,801,1223,1397,1491,1607,1661,1727,1782,1873,1937,2065,2234,2299,2419,2486,2595,2679,2813,2906,2972,3088,3178,3226,3310,3410,3508,3636,3766,3835,3936,4035,4139,4224,4272,4408,4508,4640,4731,4919,5013,5129,5240,5439,5503,5576,5661,5764,5858,5926,6081,6191,6287,6394,6470,6651,6785,6938,7003,7060,7158,7261,7359,7453,7503,7555,7662,7740,7821,7944,8025,8139,8242,8347,8438,8518,8599,8748,8829,8961,9043,9134,9260,9353,9489,9596,9679,9804,9894,9925
152,187,402,406,423,495,503,509,590,592,691,803,885,965,970,1113,1115,1729,1787,1875,1940,2096,2237,2335,2446,2513,2601,2685,2825,2910,2981,3096,3179,3239,3333,3414,3520,3643,3778,3858,3940,4036,4142,4225,4285,4410,4528,4644,4740,4931,5018,5130,5280,5445,5512,5590,5663,5767,5871,5941,6096,6200,6302,6402,6478,6661,6790,6939,7004,7064,7159,7284,7365,7457,7514,7577,7675,7759,7837,7948,8033,8148,8243,8365,8440,8531,8628,8751,8840,8963,9061,9164,9271,9383,9498,9600,9683,9807,9900,9911
599,699,706,806,809,900,902,986,1120,1256,1269,1398,1419,1513,1514,1610,1619,1672,1678,1731,1797,1895,1941,2100,2239,2341,2449,2520,2720,2830,2923,2983,3121,3182,3264,3334,3435,3560,3652,3787,3888,3943,4039,4145,4241,4324,4423,4550,4652,4751,4938,5038,5148,5300,5458,5514,5610,5665,5784,5884,5942,6100,6207,6308,6405,6514,6674,6801,6940,7014,7068,7172,7290,7372,7466,7515,7579,7691,7769,7839,7949,8036,8165,8250,8373,8459,8536,8639,8756,8848,8967,9062,9165,9283,9398,9523,9604,9684,9809,9903
